metric,n_positive,n_negative,positive_mean,negative_mean,positive_median,negative_median,mean_difference_pos_minus_neg,test,p_value,statistic
risk_mean,100,100,0.4551395061642416,0.39628817955698403,0.456799835756996,0.39265200075519374,0.05885132660725756,mannwhitneyu,5.817213265030859e-15,8196.0
risk_std,100,100,0.046460663110551345,0.04642526589785251,0.04700678202799191,0.04502184664512209,3.539721269883722e-05,mannwhitneyu,0.41654677054238076,5333.0
mean_abs_delta,100,100,0.010590420808339196,0.01134959696745558,0.010422256781167524,0.0111452019414033,-0.0007591761591163836,mannwhitneyu,0.09834051438244253,4323.0
max_abs_delta,100,100,0.10920156776545845,0.09102199026755177,0.12312456939907833,0.09470660646092573,0.018179577497906677,mannwhitneyu,0.0005997229000983985,6405.0
risk_range,100,100,0.2810908452989496,0.25982257860108293,0.3108427026212116,0.2839178862346086,0.02126826669786669,mannwhitneyu,0.0032755765731472208,6204.0
