bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,20,0.060729307648069566,0.05,0.010729307648069564
1,0.1,0.2,7,0.1252025280241524,0.2857142857142857,0.1605117576901333
2,0.2,0.30000000000000004,3,0.2531798770761,0.0,0.2531798770761
3,0.30000000000000004,0.4,3,0.35745948147602613,0.3333333333333333,0.024126148142692816
4,0.4,0.5,2,0.436506040078401,1.0,0.563493959921599
5,0.5,0.6000000000000001,1,0.5438805171816121,1.0,0.4561194828183879
6,0.6000000000000001,0.7000000000000001,6,0.6498676245640925,0.6666666666666666,0.016799042102574102
7,0.7000000000000001,0.8,3,0.735125877452571,0.6666666666666666,0.06845921078590433
8,0.8,0.9,4,0.8485120009845226,1.0,0.15148799901547738
9,0.9,1.0,9,0.9482398936489675,1.0,0.05176010635103245
