user_alignment_group,model,n_users,auc,accuracy,precision,recall,f1
High,Text-only BERT,73,0.9333333333333332,0.8493150684931506,0.8085106382978723,0.95,0.8735632183908046
High,BERT+Image CLIP,73,0.9303030303030303,0.8082191780821918,0.76,0.95,0.8444444444444444
Low,Text-only BERT,73,0.7886363636363636,0.6986301369863014,0.7037037037037037,0.5757575757575758,0.6333333333333333
Low,BERT+Image CLIP,73,0.7909090909090909,0.684931506849315,0.6470588235294118,0.6666666666666666,0.6567164179104478
Medium,Text-only BERT,145,0.9197431781701444,0.8206896551724138,0.734375,0.8392857142857143,0.7833333333333333
Medium,BERT+Image CLIP,145,0.9221508828250401,0.8344827586206897,0.7666666666666667,0.8214285714285714,0.7931034482758621
