alignment_group,count,mean,std,median
High,4089,0.30552578285085047,0.019158126700812832,0.3001791834831238
Low,4089,0.2187440144779572,0.017111377100463253,0.2227664440870285
Medium,8177,0.2665227047914075,0.013549994124309628,0.2679978907108307
