multimodal_error_type,count,mean,std,median
FN,1321,0.25313089378488324,0.039817760553229324,0.24907679855823517
FP,2146,0.26457615229340214,0.0333971377040067,0.26976555585861206
TN,6946,0.26298698515832647,0.03612295223826759,0.2634868025779724
TP,5942,0.2682971097165308,0.031393354283563164,0.2744029313325882
