bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,3,0.06706449435075201,0.0,0.06706449435075201
1,0.1,0.2,13,0.1459691181006912,0.15384615384615385,0.007877035745462668
2,0.2,0.30000000000000004,7,0.2451199701985924,0.0,0.2451199701985924
3,0.30000000000000004,0.4,2,0.353190287723585,0.5,0.14680971227641498
4,0.4,0.5,6,0.4394175433649228,0.5,0.06058245663507722
5,0.5,0.6000000000000001,4,0.5426054669072694,0.75,0.2073945330927306
6,0.6000000000000001,0.7000000000000001,4,0.6235820932015104,0.75,0.12641790679848963
7,0.7000000000000001,0.8,9,0.7446652271631451,0.7777777777777778,0.033112550614632696
8,0.8,0.9,4,0.8578118139312917,0.75,0.10781181393129169
9,0.9,1.0,6,0.9257859821145225,0.6666666666666666,0.2591193154478558
