fold,user_id,label,position,risk_prob,raw_prob,logit,n_posts_used,mode
4,_kana.words_,1,0,0.20435739477884857,0.3943602740764618,-0.4290202856063843,1,rolling
4,_kana.words_,1,1,0.38260908351699363,0.5319023728370667,0.1277831494808197,2,rolling
4,_kana.words_,1,2,0.43239189391464244,0.5642073154449463,0.2582550644874573,3,rolling
4,_kana.words_,1,3,0.4656818762590288,0.5850042104721069,0.3433506488800049,4,rolling
4,_kana.words_,1,4,0.47625009029897647,0.5914989113807678,0.3701654076576233,5,rolling
4,_kana.words_,1,5,0.4961196412403438,0.603591799736023,0.42045360803604126,6,rolling
4,_kana.words_,1,6,0.4942220148860913,0.6024429798126221,0.415654718875885,7,rolling
4,_kana.words_,1,7,0.5115622059588455,0.6128973960876465,0.45950788259506226,8,rolling
4,_kana.words_,1,8,0.5541563400051517,0.6382433176040649,0.5677477121353149,8,rolling
4,_kana.words_,1,9,0.5598044386755221,0.6415776014328003,0.5822178721427917,8,rolling
4,_kana.words_,1,10,0.5678815114920289,0.6463380455970764,0.6029809713363647,8,rolling
4,_kana.words_,1,11,0.5733331882262148,0.6495466828346252,0.6170470118522644,8,rolling
4,_kana.words_,1,12,0.5900779312842699,0.6593850255012512,0.6605549454689026,8,rolling
4,_kana.words_,1,13,0.5800252276507718,0.6534811854362488,0.6343767046928406,8,rolling
4,_kana.words_,1,14,0.595855308632644,0.662775456905365,0.6756872534751892,8,rolling
4,_kana.words_,1,15,0.5896801013954659,0.659151554107666,0.659515380859375,8,rolling
4,_kana.words_,1,16,0.5995491391554189,0.6649425625801086,0.685398519039154,8,rolling
4,_kana.words_,1,17,0.5887940352914094,0.6586313843727112,0.6572011113166809,8,rolling
4,_kana.words_,1,18,0.5939708121442331,0.6616696715354919,0.6707438826560974,8,rolling
4,_kana.words_,1,19,0.592840592203119,0.6610064506530762,0.6677826046943665,8,rolling
4,_kana.words_,1,20,0.583868559781819,0.6557391285896301,0.6443634629249573,8,rolling
4,_kana.words_,1,21,0.5866155850895525,0.6573523879051208,0.6515176892280579,8,rolling
4,_kana.words_,1,22,0.5845622917397985,0.6561466455459595,0.6461688876152039,8,rolling
4,_kana.words_,1,23,0.5907893102203253,0.6598025560379028,0.6624146103858948,8,rolling
4,_kana.words_,1,24,0.581216608827283,0.6541812419891357,0.6374697089195251,8,rolling
4,_kana.words_,1,25,0.5877807907243636,0.6580365300178528,0.6545565128326416,8,rolling
4,_kana.words_,1,26,0.5775689416239488,0.652037501335144,0.6280074119567871,8,rolling
4,_kana.words_,1,27,0.5756724533788421,0.650922417640686,0.6230965256690979,8,rolling
4,_kana.words_,1,28,0.5748676607772529,0.6504492163658142,0.6210142970085144,8,rolling
4,_kana.words_,1,29,0.5776155708381843,0.6520649194717407,0.6281282305717468,8,rolling
4,_kana.words_,1,30,0.5795198961925413,0.6531842350959778,0.6330655217170715,8,rolling
4,_kana.words_,1,31,0.562781260170222,0.6433330178260803,0.5898600816726685,8,rolling
4,_kana.words_,1,32,0.5520695714500009,0.6370101571083069,0.5624107718467712,8,rolling
4,_kana.words_,1,33,0.5481642649465108,0.6347004175186157,0.5524353384971619,8,rolling
4,_kana.words_,1,34,0.5538531797590457,0.6380642056465149,0.5669720768928528,8,rolling
4,_kana.words_,1,35,0.5426165271675044,0.6314145922660828,0.5382903218269348,8,rolling
4,_kana.words_,1,36,0.5329167336429,0.6256549954414368,0.5136213898658752,8,rolling
4,_kana.words_,1,37,0.5358829072545949,0.6274183988571167,0.5211575031280518,8,rolling
4,_kana.words_,1,38,0.5326955031975719,0.6255233883857727,0.5130595564842224,8,rolling
4,_kana.words_,1,39,0.5435091173490119,0.6319436430931091,0.540564239025116,8,rolling
4,_kana.words_,1,40,0.5460787574988444,0.6334658861160278,0.5471145510673523,8,rolling
4,_kana.words_,1,41,0.5426839431438755,0.631454586982727,0.5384620428085327,8,rolling
4,_kana.words_,1,42,0.535999312635031,0.6274875402450562,0.5214533805847168,8,rolling
4,_kana.words_,1,43,0.5472153059232461,0.6341387629508972,0.5500137209892273,8,rolling
4,_kana.words_,1,44,0.54908420691983,0.6352447271347046,0.5547837615013123,8,rolling
4,_kana.words_,1,45,0.5428960323497134,0.6315802931785583,0.5390022993087769,8,rolling
4,_kana.words_,1,46,0.539008788993661,0.6292746663093567,0.5291063785552979,8,rolling
4,_kana.words_,1,47,0.5348935629466406,0.6268304586410522,0.5186432003974915,8,rolling
4,_kana.words_,1,48,0.5433992606601938,0.6318785548210144,0.5402843356132507,8,rolling
4,_kana.words_,1,49,0.5469521953227137,0.6339829564094543,0.5493424534797668,8,rolling
4,_kana.words_,1,50,0.5492259977293655,0.6353286504745483,0.555145800113678,8,rolling
4,_kana.words_,1,51,0.5429638863842394,0.6316205263137817,0.5391751527786255,8,rolling
4,_kana.words_,1,52,0.5492521887038572,0.6353441476821899,0.555212676525116,8,rolling
4,_kana.words_,1,53,0.555047694572734,0.6387698650360107,0.5700288414955139,8,rolling
4,_kana.words_,1,54,0.5581554376252723,0.640604555606842,0.5779892802238464,8,rolling
4,_kana.words_,1,55,0.5562624265813975,0.6394871473312378,0.5731390118598938,8,rolling
4,_kana.words_,1,56,0.5497522390642879,0.6356399059295654,0.5564896464347839,8,rolling
4,_kana.words_,1,57,0.5568944831956638,0.6398602724075317,0.574757993221283,8,rolling
4,_kana.words_,1,58,0.5627521438516262,0.6433159112930298,0.5897852778434753,8,rolling
4,_kana.words_,1,59,0.5666641312154133,0.6456210613250732,0.5998458862304688,8,rolling
4,_kana.words_,1,60,0.5643318915494989,0.6442469954490662,0.5938454866409302,8,rolling
4,_kana.words_,1,61,0.5611203418690448,0.6423537135124207,0.5855947136878967,8,rolling
4,_kana.words_,1,62,0.5558741246572898,0.6392579078674316,0.572144627571106,8,rolling
4,_kana.words_,1,63,0.5550058725282562,0.638745129108429,0.5699217915534973,8,rolling
