fold,user_id,label,position,risk_prob,raw_prob,logit,n_posts_used,mode
4,lam_word,0,0,0.204408189788273,0.3944074511528015,-0.4288228154182434,1,rolling
4,lam_word,0,1,0.31960192747182875,0.4881528615951538,-0.047397516667842865,2,rolling
4,lam_word,0,2,0.3827200896120304,0.5319763422012329,0.12808020412921906,3,rolling
4,lam_word,0,3,0.4175574025435837,0.5547487735748291,0.21987663209438324,4,rolling
4,lam_word,0,4,0.4325148911139007,0.564285159111023,0.2585718631744385,5,rolling
4,lam_word,0,5,0.45857762576434985,0.5806111097335815,0.3252825140953064,6,rolling
4,lam_word,0,6,0.45831008560498154,0.5804452300071716,0.32460129261016846,7,rolling
4,lam_word,0,7,0.4704382860703826,0.5879330635070801,0.3554273247718811,8,rolling
4,lam_word,0,8,0.5096116284529554,0.6117260456085205,0.4545733332633972,8,rolling
4,lam_word,0,9,0.5094129908445462,0.6116067171096802,0.4540708661079407,8,rolling
4,lam_word,0,10,0.5041367031637687,0.6084321141242981,0.4407263994216919,8,rolling
4,lam_word,0,11,0.5028043771307451,0.607629120349884,0.43735724687576294,8,rolling
4,lam_word,0,12,0.5154605264133202,0.6152352094650269,0.46937263011932373,8,rolling
4,lam_word,0,13,0.5148585402696368,0.614874541759491,0.4678490161895752,8,rolling
4,lam_word,0,14,0.527257098799292,0.6222849488258362,0.49925798177719116,8,rolling
4,lam_word,0,15,0.5310326541030649,0.6245339512825012,0.5088376402854919,8,rolling
4,lam_word,0,16,0.5411205766111955,0.6305276155471802,0.53448086977005,8,rolling
4,lam_word,0,17,0.5441989463715896,0.6323524713516235,0.5423220992088318,8,rolling
4,lam_word,0,18,0.5553545131618955,0.6389510631561279,0.5708142518997192,8,rolling
4,lam_word,0,19,0.5587662011419017,0.6409650444984436,0.579555094242096,8,rolling
4,lam_word,0,20,0.5552228915823139,0.6388733386993408,0.570477306842804,8,rolling
4,lam_word,0,21,0.5461685493679712,0.6335190534591675,0.5473435521125793,8,rolling
4,lam_word,0,22,0.547980750645369,0.634591817855835,0.5519669651985168,8,rolling
4,lam_word,0,23,0.5391919925289531,0.629383385181427,0.5295724868774414,8,rolling
4,lam_word,0,24,0.531099433258516,0.6245737075805664,0.5090071558952332,8,rolling
4,lam_word,0,25,0.5433728017846526,0.6318628787994385,0.5402169227600098,8,rolling
4,lam_word,0,26,0.5389006189885179,0.6292104721069336,0.5288311839103699,8,rolling
4,lam_word,0,27,0.5433535949674685,0.6318514943122864,0.5401679873466492,8,rolling
4,lam_word,0,28,0.5418636372675376,0.6309682726860046,0.5363728404045105,8,rolling
4,lam_word,0,29,0.5537861263744237,0.6380245685577393,0.5668005347251892,8,rolling
4,lam_word,0,30,0.5535673388766089,0.6378953456878662,0.5662408471107483,8,rolling
4,lam_word,0,31,0.5650561060016475,0.6446737051010132,0.5957079529762268,8,rolling
4,lam_word,0,32,0.5626894088959454,0.6432788968086243,0.5896241068840027,8,rolling
4,lam_word,0,33,0.5629479688584486,0.6434313654899597,0.5902884006500244,8,rolling
4,lam_word,0,34,0.5681149280926306,0.6464754343032837,0.6035823225975037,8,rolling
4,lam_word,0,35,0.5618746011189494,0.6427984833717346,0.5875312685966492,8,rolling
4,lam_word,0,36,0.5644800851091493,0.6443343162536621,0.5942265391349792,8,rolling
4,lam_word,0,37,0.5621074375968411,0.6429357528686523,0.5881292223930359,8,rolling
4,lam_word,0,38,0.554606451469648,0.638509213924408,0.5688995122909546,8,rolling
4,lam_word,0,39,0.543289540119419,0.6318134665489197,0.5400047898292542,8,rolling
4,lam_word,0,40,0.5467076578985719,0.6338382363319397,0.5487186312675476,8,rolling
4,lam_word,0,41,0.5443739730910092,0.6324561238288879,0.5427681803703308,8,rolling
4,lam_word,0,42,0.5270093140884273,0.622137188911438,0.4986295700073242,8,rolling
4,lam_word,0,43,0.5294301901709525,0.6235798597335815,0.5047706961631775,8,rolling
4,lam_word,0,44,0.5275097581597493,0.6224355697631836,0.4998987913131714,8,rolling
4,lam_word,0,45,0.5206021065132247,0.6183122992515564,0.4823909401893616,8,rolling
4,lam_word,0,46,0.5302616553747409,0.6240749955177307,0.5068807005882263,8,rolling
4,lam_word,0,47,0.5353539688065473,0.6271040439605713,0.5198131799697876,8,rolling
4,lam_word,0,48,0.5426743725572091,0.6314489245414734,0.5384376645088196,8,rolling
4,lam_word,0,49,0.5402930271082126,0.6300367712974548,0.5323743224143982,8,rolling
4,lam_word,0,50,0.5487971226774574,0.6350749135017395,0.5540508031845093,8,rolling
4,lam_word,0,51,0.5557936300942184,0.6392103433609009,0.5719385147094727,8,rolling
4,lam_word,0,52,0.5543388969944982,0.6383511424064636,0.5682148337364197,8,rolling
4,lam_word,0,53,0.5605069293393015,0.6419919729232788,0.5840203166007996,8,rolling
4,lam_word,0,54,0.562609084808813,0.6432315707206726,0.5894177556037903,8,rolling
4,lam_word,0,55,0.5701010539955538,0.6476447582244873,0.6087023615837097,8,rolling
4,lam_word,0,56,0.5602963932934919,0.6418678164482117,0.5834800601005554,8,rolling
