fold,user_id,label,position,risk_prob,raw_prob,logit,n_posts_used,mode
1,dorakuo0207,0,0,0.5434946219126765,0.6074047684669495,0.43641629815101624,1,rolling
1,dorakuo0207,0,1,0.5109089786972089,0.5864611864089966,0.34935519099235535,2,rolling
1,dorakuo0207,0,2,0.5110169936860749,0.5865309834480286,0.34964296221733093,3,rolling
1,dorakuo0207,0,3,0.47847707582873095,0.5653619170188904,0.2629522979259491,4,rolling
1,dorakuo0207,0,4,0.46525020807412926,0.5566596984863281,0.22761651873588562,5,rolling
1,dorakuo0207,0,5,0.4521915174587873,0.5480021834373474,0.19260185956954956,6,rolling
1,dorakuo0207,0,6,0.4640183111039785,0.5558459162712097,0.22431960701942444,7,rolling
1,dorakuo0207,0,7,0.47064064546825707,0.5602138638496399,0.2420300841331482,8,rolling
1,dorakuo0207,0,8,0.442457688933898,0.5415017604827881,0.16638988256454468,8,rolling
1,dorakuo0207,0,9,0.44380582015375947,0.5424045920372009,0.17002686858177185,8,rolling
1,dorakuo0207,0,10,0.43981085166232375,0.539726734161377,0.15924254059791565,8,rolling
1,dorakuo0207,0,11,0.4610353387961948,0.5538729429244995,0.2163313627243042,8,rolling
1,dorakuo0207,0,12,0.46293479225991074,0.5551296472549438,0.2214188277721405,8,rolling
1,dorakuo0207,0,13,0.451243917008347,0.5473712086677551,0.1900547444820404,8,rolling
1,dorakuo0207,0,14,0.4284961111507409,0.5321006178855896,0.12857934832572937,8,rolling
1,dorakuo0207,0,15,0.43706461105380773,0.5378814935684204,0.15181699395179749,8,rolling
1,dorakuo0207,0,16,0.46036405991490914,0.5534284114837646,0.21453270316123962,8,rolling
1,dorakuo0207,0,17,0.44901000267451924,0.5458821654319763,0.18404626846313477,8,rolling
1,dorakuo0207,0,18,0.44577685607582823,0.5437231063842773,0.17534032464027405,8,rolling
1,dorakuo0207,0,19,0.4318183897115763,0.5343464016914368,0.1376023292541504,8,rolling
1,dorakuo0207,0,20,0.4271511778966211,0.5311898589134216,0.12492170929908752,8,rolling
1,dorakuo0207,0,21,0.4344090316849324,0.5360937714576721,0.1446266621351242,8,rolling
1,dorakuo0207,0,22,0.4570479849555157,0.5512300133705139,0.20564165711402893,8,rolling
1,dorakuo0207,0,23,0.42270981073093894,0.5281755924224854,0.11282196640968323,8,rolling
1,dorakuo0207,0,24,0.41421658704690606,0.5223817825317383,0.08958686888217926,8,rolling
1,dorakuo0207,0,25,0.4157201909357691,0.5234103798866272,0.09371006488800049,8,rolling
1,dorakuo0207,0,26,0.4118253264998381,0.520743191242218,0.08302046358585358,8,rolling
1,dorakuo0207,0,27,0.41804875429493205,0.5250008702278137,0.10008701682090759,8,rolling
1,dorakuo0207,0,28,0.4377026452841353,0.5383105278015137,0.15354308485984802,8,rolling
1,dorakuo0207,0,29,0.4566258701298941,0.5509498119354248,0.2045091688632965,8,rolling
1,dorakuo0207,0,30,0.4419056811035847,0.541131854057312,0.1649000197649002,8,rolling
1,dorakuo0207,0,31,0.4590232475759204,0.5525400638580322,0.21093890070915222,8,rolling
1,dorakuo0207,0,32,0.4583345466715604,0.5520834922790527,0.20909234881401062,8,rolling
1,dorakuo0207,0,33,0.4591353264086296,0.5526143312454224,0.21123936772346497,8,rolling
1,dorakuo0207,0,34,0.46259723074602926,0.55490642786026,0.2205149233341217,8,rolling
1,dorakuo0207,0,35,0.46630472783986326,0.5573558807373047,0.23043781518936157,8,rolling
1,dorakuo0207,0,36,0.4342440195547637,0.5359825491905212,0.1441795378923416,8,rolling
1,dorakuo0207,0,37,0.42989001405498184,0.5330435633659363,0.13236713409423828,8,rolling
1,dorakuo0207,0,38,0.42495042616260487,0.5296975374221802,0.11893026530742645,8,rolling
1,dorakuo0207,0,39,0.43496572331281697,0.5364688038825989,0.14613480865955353,8,rolling
1,dorakuo0207,0,40,0.4453910141406314,0.5434651374816895,0.17430055141448975,8,rolling
