fold,user_id,label,position,risk_prob,raw_prob,logit,n_posts_used,mode
4,linight.yn,1,0,0.5763224866177142,0.6513047218322754,0.6247791051864624,1,rolling
4,linight.yn,1,1,0.5739748846907716,0.649924099445343,0.6187056303024292,2,rolling
4,linight.yn,1,2,0.5762252367095159,0.651247501373291,0.6245273351669312,3,rolling
4,linight.yn,1,3,0.5875376736911782,0.6578938364982605,0.6539222598075867,4,rolling
4,linight.yn,1,4,0.5790790709696035,0.6529251337051392,0.6319220662117004,5,rolling
4,linight.yn,1,5,0.5822032838426036,0.6547609567642212,0.6400331258773804,6,rolling
4,linight.yn,1,6,0.5743454642114958,0.6501420736312866,0.6196637749671936,7,rolling
4,linight.yn,1,7,0.5513463370136289,0.636582612991333,0.5605621933937073,8,rolling
4,linight.yn,1,8,0.5315512198099287,0.6248425841331482,0.5101540684700012,8,rolling
4,linight.yn,1,9,0.5236717990470348,0.6201460957527161,0.49016839265823364,8,rolling
4,linight.yn,1,10,0.5254766734427129,0.6212232112884521,0.49474334716796875,8,rolling
4,linight.yn,1,11,0.522197998419048,0.6192659735679626,0.48643380403518677,8,rolling
4,linight.yn,1,12,0.512719836399958,0.6135920882225037,0.46243685483932495,8,rolling
4,linight.yn,1,13,0.49189596303581,0.6010331511497498,0.40977180004119873,8,rolling
4,linight.yn,1,14,0.5008175226431356,0.6064305901527405,0.4323331117630005,8,rolling
4,linight.yn,1,15,0.5073022185184964,0.6103376746177673,0.4487319588661194,8,rolling
4,linight.yn,1,16,0.5248399441392667,0.6208433508872986,0.4931291937828064,8,rolling
4,linight.yn,1,17,0.531240689571373,0.6246577501296997,0.5093657374382019,8,rolling
4,linight.yn,1,18,0.5160023038931224,0.6155598163604736,0.47074395418167114,8,rolling
4,linight.yn,1,19,0.49601937337476765,0.6035311222076416,0.42020004987716675,8,rolling
4,linight.yn,1,20,0.49217726717886967,0.6012037396430969,0.41048330068588257,8,rolling
