fold,user_id,label,position,risk_prob,raw_prob,logit,n_posts_used,mode
2,ed.stories,0,0,0.21552781435569127,0.3843265473842621,-0.4712241590023041,1,rolling
2,ed.stories,0,1,0.3323586041005843,0.47912344336509705,-0.08355493098497391,2,rolling
2,ed.stories,0,2,0.39507062682497346,0.5233619213104248,0.09351586550474167,3,rolling
2,ed.stories,0,3,0.4056919738717953,0.530555009841919,0.12237241119146347,4,rolling
2,ed.stories,0,4,0.41984490085767806,0.5400286316871643,0.1604577600955963,5,rolling
2,ed.stories,0,5,0.434533946026182,0.5497382283210754,0.1996130645275116,6,rolling
2,ed.stories,0,6,0.44134759900050685,0.5542030334472656,0.21766749024391174,7,rolling
2,ed.stories,0,7,0.4468406437508021,0.5577856302261353,0.23217976093292236,8,rolling
2,ed.stories,0,8,0.4875242812921718,0.5839081406593323,0.33883780241012573,8,rolling
2,ed.stories,0,9,0.49256761039994734,0.5871026515960693,0.35200056433677673,8,rolling
2,ed.stories,0,10,0.4931507598976233,0.5874714255332947,0.35352224111557007,8,rolling
2,ed.stories,0,11,0.5000871819075139,0.5918502807617188,0.37161964178085327,8,rolling
2,ed.stories,0,12,0.49579720314523285,0.5891439318656921,0.3604273498058319,8,rolling
2,ed.stories,0,13,0.497714792855814,0.590354323387146,0.3654303252696991,8,rolling
2,ed.stories,0,14,0.4875699466385181,0.5839371681213379,0.3389570116996765,8,rolling
2,ed.stories,0,15,0.4901048825366941,0.5855438113212585,0.34557366371154785,8,rolling
2,ed.stories,0,16,0.48195115983808157,0.5803680419921875,0.32428449392318726,8,rolling
2,ed.stories,0,17,0.4801350074620569,0.5792120099067688,0.31953954696655273,8,rolling
2,ed.stories,0,18,0.4775798522980501,0.5775836110115051,0.31286150217056274,8,rolling
2,ed.stories,0,19,0.48079704506184434,0.5796335935592651,0.32126936316490173,8,rolling
2,ed.stories,0,20,0.48988643995536574,0.5854054093360901,0.34500354528427124,8,rolling
2,ed.stories,0,21,0.49268622826664954,0.5871776342391968,0.35231009125709534,8,rolling
2,ed.stories,0,22,0.5126667541151249,0.5997551679611206,0.4044452905654907,8,rolling
2,ed.stories,0,23,0.5164493630169777,0.6021237969398499,0.4143220782279968,8,rolling
2,ed.stories,0,24,0.5240410243351258,0.6068667769432068,0.4341607093811035,8,rolling
2,ed.stories,0,25,0.5176505078048582,0.6028751134872437,0.4174593687057495,8,rolling
2,ed.stories,0,26,0.5220514643759901,0.6056250929832458,0.4289591312408447,8,rolling
2,ed.stories,0,27,0.5216249749990535,0.6053587794303894,0.4278443455696106,8,rolling
