fold,user_id,label,position,risk_prob,raw_prob,logit,n_posts_used,mode
1,doublesleep._.5544,1,0,0.4539791555859253,0.5491914749145508,0.19740444421768188,1,rolling
1,doublesleep._.5544,1,1,0.4590408561958804,0.5525516867637634,0.21098610758781433,2,rolling
1,doublesleep._.5544,1,2,0.4502113138157596,0.546683132648468,0.18727806210517883,3,rolling
1,doublesleep._.5544,1,3,0.4447745824065792,0.5430529117584229,0.17263901233673096,4,rolling
1,doublesleep._.5544,1,4,0.4540205028631559,0.5492189526557922,0.19751548767089844,5,rolling
1,doublesleep._.5544,1,5,0.45000666143884843,0.5465467572212219,0.1867276132106781,6,rolling
1,doublesleep._.5544,1,6,0.44552048710295516,0.5435517430305481,0.17464947700500488,7,rolling
1,doublesleep._.5544,1,7,0.44141727359251687,0.5408044457435608,0.1635814905166626,8,rolling
1,doublesleep._.5544,1,8,0.4410872397015944,0.5405831336975098,0.16269034147262573,8,rolling
1,doublesleep._.5544,1,9,0.4405434078585377,0.5402183532714844,0.16122159361839294,8,rolling
1,doublesleep._.5544,1,10,0.4393537296462191,0.5394198298454285,0.15800723433494568,8,rolling
1,doublesleep._.5544,1,11,0.4463053450650292,0.5440763235092163,0.17676421999931335,8,rolling
1,doublesleep._.5544,1,12,0.433926558241986,0.5357685685157776,0.14331921935081482,8,rolling
1,doublesleep._.5544,1,13,0.43364689518867794,0.535580039024353,0.14256121218204498,8,rolling
1,doublesleep._.5544,1,14,0.4319673441963842,0.5344469547271729,0.13800647854804993,8,rolling
1,doublesleep._.5544,1,15,0.430685704257274,0.5335813760757446,0.13452798128128052,8,rolling
1,doublesleep._.5544,1,16,0.41886552805412836,0.5255580544471741,0.10232143104076385,8,rolling
1,doublesleep._.5544,1,17,0.413023298236656,0.5215644836425781,0.08631150424480438,8,rolling
1,doublesleep._.5544,1,18,0.4172156233655745,0.5244321823120117,0.09780658781528473,8,rolling
1,doublesleep._.5544,1,19,0.4013665811527808,0.5135371088981628,0.054161593317985535,8,rolling
1,doublesleep._.5544,1,20,0.4093327895015874,0.5190317630767822,0.07616376876831055,8,rolling
1,doublesleep._.5544,1,21,0.41104658990344606,0.5202088952064514,0.08087959885597229,8,rolling
1,doublesleep._.5544,1,22,0.4163391515604992,0.5238334536552429,0.09540612995624542,8,rolling
1,doublesleep._.5544,1,23,0.4192541924928008,0.5258230566978455,0.10338425636291504,8,rolling
1,doublesleep._.5544,1,24,0.42956011701358,0.532820463180542,0.1314709484577179,8,rolling
1,doublesleep._.5544,1,25,0.4338021233455485,0.5356847047805786,0.14298196136951447,8,rolling
1,doublesleep._.5544,1,26,0.430834498428648,0.5336818695068359,0.13493195176124573,8,rolling
1,doublesleep._.5544,1,27,0.43926743939824375,0.5393618941307068,0.15777401626110077,8,rolling
1,doublesleep._.5544,1,28,0.43614124203655436,0.5372602939605713,0.14931797981262207,8,rolling
1,doublesleep._.5544,1,29,0.4359002287061315,0.5370980501174927,0.14866550266742706,8,rolling
1,doublesleep._.5544,1,30,0.42910280671740747,0.5325111746788025,0.13022835552692413,8,rolling
1,doublesleep._.5544,1,31,0.42552381356918023,0.5300866365432739,0.12049205601215363,8,rolling
1,doublesleep._.5544,1,32,0.42362685637813785,0.5287988781929016,0.1153230220079422,8,rolling
1,doublesleep._.5544,1,33,0.4212338730425855,0.5271716117858887,0.10879358649253845,8,rolling
1,doublesleep._.5544,1,34,0.4253728948819765,0.5299842357635498,0.12008103728294373,8,rolling
1,doublesleep._.5544,1,35,0.43262983557852197,0.5348941087722778,0.13980357348918915,8,rolling
1,doublesleep._.5544,1,36,0.4366363146181976,0.537593424320221,0.1506579965353012,8,rolling
1,doublesleep._.5544,1,37,0.43335535809493,0.5353834629058838,0.14177089929580688,8,rolling
