bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,14,0.16684940461435022,0.21428571428571427,0.04743630967136406
2,0.2,0.30000000000000004,12,0.25998827019624876,0.16666666666666666,0.0933216035295821
3,0.30000000000000004,0.4,11,0.3378694454880231,0.45454545454545453,0.11667600905743142
4,0.4,0.5,5,0.4262387814086104,0.4,0.026238781408610357
5,0.5,0.6000000000000001,5,0.558818093697528,0.8,0.24118190630247205
6,0.6000000000000001,0.7000000000000001,5,0.6616365340902752,1.0,0.33836346590972477
7,0.7000000000000001,0.8,1,0.7771831031977512,1.0,0.2228168968022488
8,0.8,0.9,5,0.84433782977869,0.8,0.04433782977868994
9,0.9,1.0,0,,,
