experiment,method,noise_rate,auc_mean,auc_std,macro_f1_mean,macro_f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,ece_10_mean,ece_10_std,brier_mean,brier_std,nll_mean,nll_std
label_flip,bert_clip,0.05,0.8470692207633848,0.005582883022198968,0.7870124395419601,0.006210665610969782,0.7727970573864785,0.009937665414397346,0.8028276333164565,0.013338230651605557,0.068438360620751,0.008424987200923413,0.15645311784982568,0.002736218572533319,0.49106068551313753,0.007530538402721814
label_flip,bert_clip,0.1,0.8199072526076462,0.009579007225062306,0.7567937690701432,0.009403023900738897,0.7368465593818068,0.008646397028927584,0.7775063053597526,0.014253868740012415,0.08959171215914896,0.008313525170159599,0.17669766909567222,0.003916922752587378,0.5448537489820625,0.009544247255722482
label_flip,bert_clip,0.2,0.7441097429334007,0.022620179637207746,0.6935019658698947,0.010604209118637433,0.6583868407578085,0.010692815274564756,0.7300033638617774,0.020444420910731738,0.14721466999684504,0.007773294627528181,0.22383827154403207,0.008963276581520836,0.6807756692873081,0.029048081926573054
label_flip,text_bert,0.05,0.8481632845182755,0.007685543358112592,0.7795117598285042,0.010772774832502165,0.7867595320048331,0.01860678370237978,0.7765729210142762,0.011323670267396278,0.0578450596601124,0.005660299360229657,0.15575886458281749,0.003923314059940945,0.49014194002043965,0.01095922118970682
label_flip,text_bert,0.1,0.8195385411458969,0.008595545438492811,0.7521092733492429,0.012102801461539978,0.7535233207428097,0.012775298587411431,0.7537043551801815,0.015437363044257236,0.08104287780691163,0.012578272898528343,0.17581090777316455,0.004357179401760537,0.5429002313382274,0.012314374396575688
label_flip,text_bert,0.2,0.73994501494927,0.017118761751840503,0.6887284933075508,0.02243880823056909,0.674023898572987,0.021314834011910918,0.7052267872505086,0.028149727225349065,0.1341633124128812,0.013309072161109797,0.22267106479442952,0.008356614115835203,0.6857741874609566,0.02287416727224423
label_permutation,bert_clip,1.0,0.4843019943019943,0.03816855510617409,0.47910877367542015,0.04045433991235873,0.4323076923076924,0.044985204668349044,0.5259259259259259,0.036099238314107295,0.3404966299991506,0.03206502706477483,0.37643875570961294,0.025592224879433544,1.1250541434802215,0.07474564934808128
label_permutation,text_bert,1.0,0.48486229819563154,0.03759299173396146,0.48240514545347263,0.029883326368061403,0.4569230769230769,0.03335305136719812,0.508641975308642,0.02676479430701088,0.32723355784515357,0.03592352658859329,0.3706868302054624,0.0242445805950783,1.1227805492970906,0.07156218855842114
original,bert_clip,0.0,0.8946343779677113,,0.8236025727586085,,0.8153846153846154,,0.8333333333333334,,0.046434148931240565,,0.12948880857039435,,0.41081011248755495,
original,text_bert,0.0,0.8948243114909782,,0.8173600047205996,,0.8307692307692308,,0.808641975308642,,0.04616761983399286,,0.1290033028066844,,0.40825875367357556,
