bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,6,0.277247204393961,0.0,0.277247204393961
3,0.30000000000000004,0.4,19,0.34551911318396317,0.3157894736842105,0.029729639499752658
4,0.4,0.5,11,0.4384272417997817,0.36363636363636365,0.07479087816341806
5,0.5,0.6000000000000001,13,0.5435173024045205,0.6153846153846154,0.07186731298009497
6,0.6000000000000001,0.7000000000000001,6,0.6435366927602183,0.8333333333333334,0.18979664057311507
7,0.7000000000000001,0.8,3,0.7261589267982519,1.0,0.2738410732017481
8,0.8,0.9,0,,,
9,0.9,1.0,0,,,
