bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,2,0.08421779586277123,0.0,0.08421779586277123
1,0.1,0.2,13,0.14051674454540594,0.07692307692307693,0.06359366762232901
2,0.2,0.30000000000000004,8,0.2562689088099047,0.125,0.13126890880990472
3,0.30000000000000004,0.4,3,0.39205700388187226,0.0,0.39205700388187226
4,0.4,0.5,7,0.4711805081692197,0.5714285714285714,0.1002480632593517
5,0.5,0.6000000000000001,4,0.5422735633573865,0.75,0.20772643664261348
6,0.6000000000000001,0.7000000000000001,5,0.6585002333985503,0.4,0.2585002333985503
7,0.7000000000000001,0.8,3,0.7637124431797612,1.0,0.23628755682023883
8,0.8,0.9,7,0.8320556989643989,0.8571428571428571,0.02508715817845819
9,0.9,1.0,6,0.9234276355755271,1.0,0.0765723644244729
