bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,7,0.08800232974357414,0.0,0.08800232974357414
1,0.1,0.2,11,0.1368600151239441,0.09090909090909091,0.045950924214853195
2,0.2,0.30000000000000004,10,0.2689349836060163,0.3,0.03106501639398368
3,0.30000000000000004,0.4,10,0.349703323129514,0.5,0.15029667687048598
4,0.4,0.5,5,0.4517287662573121,0.8,0.3482712337426879
5,0.5,0.6000000000000001,5,0.5502160950830447,0.6,0.04978390491695528
6,0.6000000000000001,0.7000000000000001,2,0.6528338591452005,1.0,0.34716614085479947
7,0.7000000000000001,0.8,3,0.7557243293455334,1.0,0.24427567065446665
8,0.8,0.9,3,0.8722202547248056,1.0,0.12777974527519442
9,0.9,1.0,2,0.919347268298796,1.0,0.08065273170120402
