bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,4,0.0785514762100133,0.0,0.0785514762100133
1,0.1,0.2,19,0.1438648236777637,0.21052631578947367,0.06666149211170996
2,0.2,0.30000000000000004,8,0.25403328103225037,0.375,0.12096671896774963
3,0.30000000000000004,0.4,8,0.33953279747451365,0.5,0.16046720252548635
4,0.4,0.5,4,0.4510709768278239,1.0,0.5489290231721762
5,0.5,0.6000000000000001,3,0.5442936626972471,0.3333333333333333,0.2109603293639138
6,0.6000000000000001,0.7000000000000001,0,,,
7,0.7000000000000001,0.8,3,0.7417714797517861,0.3333333333333333,0.40843814641845283
8,0.8,0.9,7,0.8514121355594167,1.0,0.14858786444058325
9,0.9,1.0,2,0.9282077496670477,1.0,0.07179225033295233
