bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,3,0.08345600747289457,0.0,0.08345600747289457
1,0.1,0.2,18,0.14396364060240677,0.1111111111111111,0.03285252949129566
2,0.2,0.30000000000000004,10,0.24648954927988914,0.5,0.25351045072011086
3,0.30000000000000004,0.4,8,0.33683342106242786,0.5,0.16316657893757214
4,0.4,0.5,5,0.4490144505316314,0.8,0.35098554946836863
5,0.5,0.6000000000000001,2,0.545925519131345,0.5,0.045925519131345016
6,0.6000000000000001,0.7000000000000001,1,0.6904369957487245,0.0,0.6904369957487245
7,0.7000000000000001,0.8,3,0.745294317960313,0.6666666666666666,0.07862765129364635
8,0.8,0.9,6,0.8335177359794702,1.0,0.1664822640205298
9,0.9,1.0,2,0.9098373125749881,1.0,0.09016268742501188
