perturbation,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,macro_f1_mean,macro_f1_std,f1_mean,f1_std,auc_mean,auc_std,ece_10_mean,ece_10_std,brier_mean,brier_std,nll_mean,nll_std
baseline,0.7909195402298851,0.0760321152358142,0.774686343068696,0.14248566318385728,0.823076923076923,0.1428782740077439,0.7628676470588236,0.21078075122388473,0.7842719231842039,0.07921201012593677,0.7799020065740194,0.05953909015942915,0.9032664027149322,0.04043188658013058,0.12140731412920718,0.0384904878365891,0.1294475262110977,0.03190339810674671,0.41064142578767715,0.08056646578272914
history_mismatch,0.49574712643678154,0.10397979671035401,0.46222747840394895,0.09563775801696325,0.4923076923076922,0.10672643788855084,0.49632352941176466,0.24332500546156774,0.4814895238865594,0.10232292704613921,0.46523242595415815,0.05051018043584777,0.48393665158371046,0.08961136143309574,0.3662189912703636,0.060186223177122175,0.3753404063709847,0.051380228284859504,1.1234863528485552,0.16672618963666525
image_mismatch,0.7873563218390804,0.07258236172594877,0.7725707070707071,0.14272142905177398,0.8153846153846154,0.1315587028960544,0.7628676470588236,0.21078075122388473,0.7810093329262846,0.07504618245179236,0.776409648498898,0.04972425038685973,0.9154977375565612,0.04148294529433801,0.11457722612209757,0.01424273776154106,0.12111561916599867,0.033362990132281126,0.38738655175267317,0.08075430118103939
image_zero,0.7804597701149425,0.08029539860493325,0.7575642352816265,0.14234226311625947,0.8307692307692308,0.12929027933824314,0.7378676470588236,0.22646730564847908,0.7730616835364069,0.08656134539056132,0.7749305611374577,0.04742996935413921,0.9019089366515838,0.040930639530147826,0.11472515433972548,0.04607626320934448,0.12954334629901315,0.031192357569170267,0.41166136851352764,0.07853944094292505
no_history,0.7806896551724138,0.04843569599839554,0.7607322155915506,0.0865049045407798,0.7615384615384615,0.05014771080925115,0.7955882352941177,0.11071763051450932,0.7775256360755817,0.046848816840435174,0.75732819920421,0.03774493198420609,0.8382211538461538,0.01622818716929822,0.13459919657100966,0.02917027864447721,0.1651078891226348,0.007205499802884641,0.5285771867347051,0.026067074882757654
time_shuffle,0.7909195402298851,0.0760321152358142,0.774686343068696,0.14248566318385728,0.823076923076923,0.1428782740077439,0.7628676470588236,0.21078075122388473,0.7842719231842039,0.07921201012593677,0.7799020065740194,0.05953909015942915,0.902064479638009,0.04175534422809972,0.1216169270396695,0.03786033139029956,0.12958573684999822,0.032184173414875374,0.41113250748689734,0.08111004878371394
