experiment,fold,window_size,perturbation,threshold,accuracy,precision,recall,macro_f1,f1,specificity,auc,nll,brier,ece_10,n_samples
bert_clip_w64_fold0,0,64,baseline,0.3377087362054896,0.7586206896551724,0.6875,0.8461538461538461,0.7586206896551724,0.7586206896551724,0.6875,0.8641826923076923,0.4950935023350401,0.165091928890662,0.1467252002580852,58
bert_clip_w64_fold0,0,64,time_shuffle,0.3377087362054896,0.7586206896551724,0.6875,0.8461538461538461,0.7586206896551724,0.7586206896551724,0.6875,0.860576923076923,0.4959262439824047,0.1655066405010218,0.1468808597332196,58
bert_clip_w64_fold0,0,64,history_mismatch,0.3377087362054896,0.4137931034482758,0.375,0.4615384615384615,0.4137931034482758,0.4137931034482758,0.375,0.4338942307692308,1.3538394361986634,0.4349195103415828,0.4416107905037503,58
bert_clip_w64_fold0,0,64,no_history,0.3377087362054896,0.7413793103448276,0.7037037037037037,0.7307692307692307,0.7394429469901167,0.7169811320754716,0.75,0.859375,0.5531083492537092,0.1728074039375827,0.1390413938790447,58
bert_clip_w64_fold0,0,64,image_mismatch,0.3377087362054896,0.7586206896551724,0.6875,0.8461538461538461,0.7586206896551724,0.7586206896551724,0.6875,0.8810096153846154,0.4488441738976013,0.1495404596550898,0.1051260086058668,58
bert_clip_w64_fold0,0,64,image_zero,0.3377087362054896,0.7586206896551724,0.6875,0.8461538461538461,0.7586206896551724,0.7586206896551724,0.6875,0.8653846153846154,0.4950595806509698,0.1645872391883692,0.1466795736957696,58
bert_clip_w64_fold1,1,64,baseline,0.3226178336968301,0.7931034482758621,0.7692307692307693,0.7692307692307693,0.7908653846153846,0.7692307692307693,0.8125,0.8737980769230769,0.4605496008451956,0.1492687991369876,0.0905802100627768,58
bert_clip_w64_fold1,1,64,time_shuffle,0.3226178336968301,0.7931034482758621,0.7692307692307693,0.7692307692307693,0.7908653846153846,0.7692307692307693,0.8125,0.8713942307692308,0.4609960238164087,0.14939869830542,0.0902009158926282,58
bert_clip_w64_fold1,1,64,history_mismatch,0.3226178336968301,0.5862068965517241,0.5384615384615384,0.5384615384615384,0.5817307692307692,0.5384615384615384,0.625,0.5252403846153847,0.9461119294797866,0.3276975001741639,0.3126952716710985,58
bert_clip_w64_fold1,1,64,no_history,0.3226178336968301,0.8448275862068966,0.8695652173913043,0.7692307692307693,0.8409990862016448,0.8163265306122449,0.90625,0.828125,0.5131157094597302,0.1616640575241542,0.1123938202023622,58
bert_clip_w64_fold1,1,64,image_mismatch,0.3226178336968301,0.7758620689655172,0.76,0.7307692307692307,0.7725490196078432,0.7450980392156863,0.8125,0.8846153846153846,0.4553377675069053,0.1479406298462869,0.1212258777319014,58
bert_clip_w64_fold1,1,64,image_zero,0.3226178336968301,0.7931034482758621,0.7692307692307693,0.7692307692307693,0.7908653846153846,0.7692307692307693,0.8125,0.8725961538461537,0.4604474900805316,0.1493544260856285,0.0854427104894022,58
bert_clip_w64_fold2,2,64,baseline,0.1330126093082226,0.6896551724137931,0.5909090909090909,1.0,0.675776397515528,0.7428571428571429,0.4375,0.9639423076923076,0.2918049655612887,0.0831948657058183,0.1769337204448854,58
bert_clip_w64_fold2,2,64,time_shuffle,0.1330126093082226,0.6896551724137931,0.5909090909090909,1.0,0.675776397515528,0.7428571428571429,0.4375,0.9639423076923076,0.2908380587338895,0.0826593083173709,0.1759116068899603,58
bert_clip_w64_fold2,2,64,history_mismatch,0.1330126093082226,0.3793103448275862,0.3863636363636363,0.6538461538461539,0.3515527950310559,0.4857142857142857,0.15625,0.3774038461538461,1.1835343876033708,0.4013240910011478,0.3858302529160642,58
bert_clip_w64_fold2,2,64,no_history,0.1330126093082226,0.7241379310344828,0.6470588235294118,0.8461538461538461,0.7238095238095238,0.7333333333333333,0.625,0.8173076923076923,0.5128221974172587,0.1634923240375535,0.1672276950429494,58
bert_clip_w64_fold2,2,64,image_mismatch,0.1330126093082226,0.6896551724137931,0.5909090909090909,1.0,0.675776397515528,0.7428571428571429,0.4375,0.9759615384615384,0.2656793354543195,0.0698317795764617,0.10841785674611,58
bert_clip_w64_fold2,2,64,image_zero,0.1330126093082226,0.6551724137931034,0.5652173913043478,1.0,0.6338383838383839,0.7222222222222222,0.375,0.9639423076923076,0.2967022523203749,0.0847909339907047,0.1789772803727976,58
bert_clip_w64_fold3,3,64,baseline,0.5230274241234272,0.8166666666666667,0.9411764705882352,0.6153846153846154,0.8006644518272426,0.7441860465116279,0.9705882352941176,0.8925339366515836,0.4352696839698283,0.1354747506684025,0.0970001962392776,60
bert_clip_w64_fold3,3,64,time_shuffle,0.5230274241234272,0.8166666666666667,0.9411764705882352,0.6153846153846154,0.8006644518272426,0.7441860465116279,0.9705882352941176,0.8925339366515838,0.4360845193216381,0.1356592354770946,0.0984454668068028,60
bert_clip_w64_fold3,3,64,history_mismatch,0.5230274241234272,0.6166666666666667,0.5882352941176471,0.3846153846153846,0.5832074901842343,0.4651162790697674,0.7941176470588235,0.6119909502262444,0.9756686331061648,0.3154776248894289,0.2970234415749793,60
bert_clip_w64_fold3,3,64,no_history,0.5230274241234272,0.8,0.7916666666666666,0.7307692307692307,0.7942857142857143,0.76,0.8529411764705882,0.8461538461538461,0.5602621042423049,0.1718636966592086,0.1564556218207966,60
bert_clip_w64_fold3,3,64,image_mismatch,0.5230274241234272,0.8333333333333334,0.9444444444444444,0.6538461538461539,0.8205741626794258,0.7727272727272727,0.9705882352941176,0.8947963800904977,0.4212737695708256,0.1311098179845789,0.1017406266435344,60
bert_clip_w64_fold3,3,64,image_zero,0.5230274241234272,0.8333333333333334,0.9444444444444444,0.6538461538461539,0.8205741626794258,0.7727272727272727,0.9705882352941176,0.8857466063348417,0.4344690973926843,0.1349201556174736,0.0923488671426046,60
bert_clip_w64_fold4,4,64,baseline,0.3484527497514231,0.896551724137931,0.8846153846153846,0.8846153846153846,0.8954326923076923,0.8846153846153846,0.90625,0.921875,0.3704893762270332,0.1142072866536181,0.0957972436410109,58
bert_clip_w64_fold4,4,64,time_shuffle,0.3484527497514231,0.896551724137931,0.8846153846153846,0.8846153846153846,0.8954326923076923,0.8846153846153846,0.90625,0.921875,0.3718176915801456,0.1147048016490838,0.0966457858757367,58
bert_clip_w64_fold4,4,64,history_mismatch,0.3484527497514231,0.4827586206896552,0.4230769230769231,0.4230769230769231,0.4771634615384615,0.4230769230769231,0.53125,0.4711538461538461,1.1582773778547908,0.3972833054486002,0.3939351996859256,58
bert_clip_w64_fold4,4,64,no_history,0.3484527497514231,0.7931034482758621,0.7916666666666666,0.7307692307692307,0.7890909090909091,0.76,0.84375,0.8401442307692306,0.5035775733005226,0.155711963454675,0.0978774519098954,58
bert_clip_w64_fold4,4,64,image_mismatch,0.3484527497514231,0.8793103448275862,0.88,0.8461538461538461,0.877526395173454,0.8627450980392157,0.90625,0.9411057692307692,0.3457977123337141,0.107155408767576,0.1363757608830753,58
