bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,5,0.07628868145254722,0.0,0.07628868145254722
1,0.1,0.2,13,0.14203837045104156,0.0,0.14203837045104156
2,0.2,0.30000000000000004,10,0.24225440933563952,0.2,0.04225440933563951
3,0.30000000000000004,0.4,4,0.36279552936167847,0.25,0.11279552936167847
4,0.4,0.5,3,0.4818478433181972,0.6666666666666666,0.18481882334846944
5,0.5,0.6000000000000001,3,0.5815536407481595,0.3333333333333333,0.2482203074148262
6,0.6000000000000001,0.7000000000000001,0,,,
7,0.7000000000000001,0.8,7,0.760942198119351,1.0,0.23905780188064896
8,0.8,0.9,8,0.8689265364926958,1.0,0.1310734635073042
9,0.9,1.0,5,0.9193909936910982,1.0,0.08060900630890178
