bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,18,0.07161863491282294,0.1111111111111111,0.03949247619828816
1,0.1,0.2,11,0.14097791195446593,0.09090909090909091,0.05006882104537502
2,0.2,0.30000000000000004,3,0.23410189061344308,0.6666666666666666,0.4325647760532235
3,0.30000000000000004,0.4,4,0.33688463785084155,0.5,0.16311536214915845
4,0.4,0.5,0,,,
5,0.5,0.6000000000000001,5,0.5513409880978271,0.8,0.248659011902173
6,0.6000000000000001,0.7000000000000001,2,0.685764354597632,0.5,0.18576435459763196
7,0.7000000000000001,0.8,4,0.7530537882117121,0.75,0.003053788211712094
8,0.8,0.9,5,0.865871235394796,1.0,0.13412876460520395
9,0.9,1.0,6,0.9427444217246886,1.0,0.05725557827531136
