bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,17,0.06744586418003251,0.058823529411764705,0.008622334768267806
1,0.1,0.2,14,0.1518707066029181,0.35714285714285715,0.20527215053993905
2,0.2,0.30000000000000004,7,0.23971455678027528,0.0,0.23971455678027528
3,0.30000000000000004,0.4,1,0.3276809198455637,1.0,0.6723190801544363
4,0.4,0.5,2,0.4588124872101509,0.5,0.04118751278984911
5,0.5,0.6000000000000001,2,0.536835256830416,1.0,0.463164743169584
6,0.6000000000000001,0.7000000000000001,1,0.6744041866150715,1.0,0.3255958133849285
7,0.7000000000000001,0.8,0,,,
8,0.8,0.9,4,0.8726778548039424,1.0,0.12732214519605756
9,0.9,1.0,12,0.9355296887924519,0.9166666666666666,0.018863022125785278
