bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,15,0.07595381238089735,0.06666666666666667,0.009287145714230685
1,0.1,0.2,11,0.13103433330381106,0.18181818181818182,0.05078384851437076
2,0.2,0.30000000000000004,4,0.23970230520045133,0.0,0.23970230520045133
3,0.30000000000000004,0.4,4,0.35799576426810614,0.5,0.14200423573189386
4,0.4,0.5,1,0.4347908048854094,1.0,0.5652091951145906
5,0.5,0.6000000000000001,4,0.5784540688426643,0.75,0.17154593115733574
6,0.6000000000000001,0.7000000000000001,5,0.6505062450242075,0.8,0.14949375497579254
7,0.7000000000000001,0.8,3,0.729246401394721,0.6666666666666666,0.06257973472805434
8,0.8,0.9,4,0.8584415658732285,1.0,0.1415584341267715
9,0.9,1.0,7,0.933724859389082,1.0,0.06627514061091799
