bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,11,0.07053368419170716,0.0,0.07053368419170716
1,0.1,0.2,6,0.12795238464754544,0.16666666666666666,0.03871428201912122
2,0.2,0.30000000000000004,5,0.24569495832768226,0.0,0.24569495832768226
3,0.30000000000000004,0.4,3,0.34919687806007554,0.6666666666666666,0.3174697886065911
4,0.4,0.5,1,0.43703780401564524,1.0,0.5629621959843547
5,0.5,0.6000000000000001,4,0.5465542013506316,0.75,0.2034457986493684
6,0.6000000000000001,0.7000000000000001,4,0.6352588711540869,0.25,0.38525887115408686
7,0.7000000000000001,0.8,2,0.7335913922197965,0.5,0.23359139221979652
8,0.8,0.9,5,0.8694500825120921,0.8,0.06945008251209206
9,0.9,1.0,17,0.9563028527598382,0.7647058823529411,0.19159697040689705
