experiment,group,fold,window_size,model,modality,text_embedding,image_embedding,calibration,calibration_fit_split,threshold_strategy,threshold_selection_split,evaluation_split,threshold,temperature,platt_a,platt_b,accuracy,precision,recall,f1,auc,nll,log_loss,brier,ece_10,n_samples
bert_clip_w64_fold4,final_preprocessing_v2,4,64,multimodal-transformer,both,bert,clip,none,none,fixed_0.5,fixed,test,0.5,,,,0.8448275862068966,0.8695652173913043,0.7692307692307693,0.8163265306122449,0.921875,0.3704893762270332,0.3704893762270332,0.11420728665361811,0.09579724364101094,58
bert_clip_w64_fold4,final_preprocessing_v2,4,64,multimodal-transformer,both,bert,clip,temperature,validation,fixed_0.5,fixed,test,0.5,1.0282704985256497,,,0.8448275862068966,0.8695652173913043,0.7692307692307693,0.8163265306122449,0.921875,0.3719254360415414,0.3719254360415414,0.11448945614104158,0.09381924659812917,58
bert_clip_w64_fold4,final_preprocessing_v2,4,64,multimodal-transformer,both,bert,clip,platt,validation,fixed_0.5,fixed,test,0.5,,1.0612651575514545,0.464608997584276,0.8793103448275862,0.88,0.8461538461538461,0.8627450980392157,0.921875,0.35693882518196074,0.35693882518196074,0.10914539364146784,0.09552427745501774,58
