bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,22,0.05015480762574078,0.13636363636363635,0.08620882873789557
1,0.1,0.2,11,0.1487061172115083,0.18181818181818182,0.033112064606673514
2,0.2,0.30000000000000004,6,0.21909977325498106,0.3333333333333333,0.11423356007835225
3,0.30000000000000004,0.4,1,0.31592302880624545,1.0,0.6840769711937545
4,0.4,0.5,2,0.4107424978309412,0.5,0.08925750216905881
5,0.5,0.6000000000000001,1,0.5427005681810989,1.0,0.4572994318189011
6,0.6000000000000001,0.7000000000000001,0,,,
7,0.7000000000000001,0.8,0,,,
8,0.8,0.9,3,0.8752842293032419,1.0,0.1247157706967581
9,0.9,1.0,14,0.9623637213217883,0.9285714285714286,0.033792292750359665
