bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,16,0.072821266318566,0.0625,0.010321266318566003
1,0.1,0.2,10,0.12788351279592278,0.2,0.07211648720407723
2,0.2,0.30000000000000004,4,0.23381454972291035,0.0,0.23381454972291035
3,0.30000000000000004,0.4,4,0.3542398998219763,0.5,0.1457601001780237
4,0.4,0.5,1,0.43296917333400287,1.0,0.5670308266659971
5,0.5,0.6000000000000001,3,0.5738654390175933,0.6666666666666666,0.09280122764907328
6,0.6000000000000001,0.7000000000000001,6,0.6455280728330081,0.8333333333333334,0.1878052605003253
7,0.7000000000000001,0.8,3,0.7347243980201151,0.6666666666666666,0.0680577313534485
8,0.8,0.9,4,0.8644367226015234,1.0,0.13556327739847662
9,0.9,1.0,7,0.9381508539760501,1.0,0.061849146023949864
