bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,27,0.041699438579480046,0.14814814814814814,0.10644870956866809
1,0.1,0.2,12,0.1396373327622773,0.25,0.1103626672377227
2,0.2,0.30000000000000004,1,0.23731949582240128,1.0,0.7626805041775987
3,0.30000000000000004,0.4,2,0.32183513560596544,0.5,0.17816486439403456
4,0.4,0.5,1,0.4502130703073564,1.0,0.5497869296926436
5,0.5,0.6000000000000001,0,,,
6,0.6000000000000001,0.7000000000000001,0,,,
7,0.7000000000000001,0.8,0,,,
8,0.8,0.9,5,0.8555278973686175,1.0,0.14447210263138255
9,0.9,1.0,12,0.9608867962600582,0.9166666666666666,0.04422012959339161
