comparison_name,method,window_size,model,modality,text_embedding,image_embedding,calibration,threshold_strategy,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,nll_mean,nll_std,log_loss_mean,log_loss_std,brier_mean,brier_std,ece_10_mean,ece_10_std,fold_count,complete_5fold
BERT-base Chinese + Image CLIP ContextVecNet,bert_clip,64,multimodal-transformer,both,bert,clip,none,validation_f1,0.7909195402298851,0.0760321152358142,0.774686343068696,0.14248566318385728,0.823076923076923,0.1428782740077439,0.7799020065740194,0.05953909015942915,0.9032664027149322,0.04043188658013058,0.41064142578767715,0.08056646578272914,0.41064142578767715,0.08056646578272914,0.1294475262110977,0.03190339810674671,0.12140731412920718,0.0384904878365891,5,True
Text+Image concat,concat,64,text-image-concat,both,clip,clip,none,validation_f1,0.6605747126436782,0.065783387637362,0.5910642235848538,0.055912766023274975,0.8461538461538461,0.13323467750529824,0.6888150327509595,0.04364334702352224,0.7934247737556561,0.0365828595871794,0.5959343750514486,0.018813571956508894,0.5959343750514486,0.018813571956508894,0.20322998861196587,0.008778167859420543,0.11383281708668809,0.0314087664307626,5,True
Full ContextVecNet,contextvecnet,64,multimodal-transformer,both,clip,clip,none,validation_f1,0.7258620689655173,0.04496001658760448,0.6576919602529359,0.06582709968613455,0.8384615384615385,0.09955522388880608,0.7315910932512375,0.032936914714324285,0.8524886877828054,0.04547096670303167,0.49550234548929417,0.05660391148150231,0.49550234548929417,0.05660391148150231,0.16384805590258028,0.02242131138436317,0.14489324597561293,0.023389703921437622,5,True
Image-only CLIP,image_clip,64,multimodal-transformer,image,clip,clip,none,validation_f1,0.6850574712643678,0.03990012633956271,0.6077004108750764,0.05135972130506585,0.8692307692307694,0.07975554366664508,0.7112418901516409,0.016008608932617713,0.7926611990950226,0.03113797268450446,0.5616056200824694,0.027831526733786385,0.5616056200824694,0.027831526733786385,0.18946983938461182,0.010928976334102308,0.13566651460435594,0.02318153943582779,5,True
LSTM-only,lstm,64,lstm-baseline,both,clip,clip,none,validation_f1,0.7021839080459771,0.0452025286415181,0.643803790412486,0.0881706749353275,0.8230769230769232,0.14026601945238826,0.710045864499646,0.02806077198310931,0.8247454751131222,0.0329837328922114,0.6130127038846501,0.009827694421341194,0.6130127038846501,0.009827694421341194,0.2106030413452014,0.004732678769154293,0.15756342606511875,0.023402417937579894,5,True
Text-only BERT-base Chinese,text_bert,64,multimodal-transformer,text,bert,clip,none,validation_f1,0.7977011494252875,0.042310717975416,0.7820519220519221,0.11797064057967202,0.8076923076923077,0.130429422752409,0.7801330212558174,0.03289736578023257,0.899533371040724,0.0410928794735494,0.40808243224521146,0.07009479239922974,0.40808243224521146,0.07009479239922974,0.12896921631578157,0.029156416619658884,0.10593072761007757,0.022259294392420446,5,True
Text-only CLIP,text_clip,64,multimodal-transformer,text,clip,clip,none,validation_f1,0.7636781609195402,0.03315050933231558,0.6964184754507335,0.03952241329784512,0.8384615384615385,0.08338262841799535,0.7587169430166754,0.037383888003211664,0.8529270361990949,0.03853747395850488,0.49947076385396294,0.04680125229576971,0.49947076385396294,0.04680125229576971,0.16380564417208474,0.019075717251971967,0.1244791224153183,0.013446846636810249,5,True
