experiment,group,fold,window_size,model,modality,text_embedding,image_embedding,calibration,calibration_fit_split,threshold_strategy,threshold_selection_split,evaluation_split,threshold,temperature,platt_a,platt_b,accuracy,precision,recall,f1,auc,nll,log_loss,brier,ece_10,n_samples,source_file,method
lstm_w64_fold1,final_preprocessing_v2,1,64,lstm-baseline,both,clip,clip,none,none,validation_f1,validation,test,0.4774302669787694,,,,0.7758620689655172,0.782608695652174,0.6923076923076923,0.7346938775510204,0.8473557692307692,0.5981263900048756,0.5981263900048756,0.2035267716824013,0.1690909936949134,58,results/final_preprocessing_v2/methods/lstm/w64/lstm_w64_fold1_metrics.csv,lstm
lstm_w64_fold2,final_preprocessing_v2,2,64,lstm-baseline,both,clip,clip,none,none,validation_f1,validation,test,0.4240446352586698,,,,0.6896551724137931,0.5952380952380952,0.9615384615384616,0.7352941176470589,0.8701923076923077,0.6078390956988741,0.6078390956988741,0.2079406577520911,0.1915506889958929,58,results/final_preprocessing_v2/methods/lstm/w64/lstm_w64_fold2_metrics.csv,lstm
lstm_w64_fold3,final_preprocessing_v2,3,64,lstm-baseline,both,clip,clip,none,none,validation_f1,validation,test,0.4403372230716635,,,,0.6833333333333333,0.5897435897435898,0.8846153846153846,0.7076923076923077,0.8088235294117647,0.6184102353856245,0.6184102353856245,0.2132525242869843,0.143874099223761,60,results/final_preprocessing_v2/methods/lstm/w64/lstm_w64_fold3_metrics.csv,lstm
lstm_w64_fold4,final_preprocessing_v2,4,64,lstm-baseline,both,clip,clip,none,none,validation_f1,validation,test,0.4584530521132145,,,,0.7068965517241379,0.68,0.6538461538461539,0.6666666666666666,0.8076923076923077,0.619525500385217,0.619525500385217,0.2137713374774885,0.1314319465093833,58,results/final_preprocessing_v2/methods/lstm/w64/lstm_w64_fold4_metrics.csv,lstm
text_bert_w64_fold0,final_preprocessing_v2,0,64,multimodal-transformer,text,bert,clip,none,none,validation_f1,validation,test,0.3292227008133845,,,,0.7413793103448276,0.6571428571428571,0.8846153846153846,0.7540983606557377,0.8533653846153846,0.47150996013702,0.47150996013702,0.1574404291264044,0.1228701361059381,58,results/final_preprocessing_v2/methods/text_bert/w64/text_bert_w64_fold0_metrics.csv,text_bert
text_bert_w64_fold1,final_preprocessing_v2,1,64,multimodal-transformer,text,bert,clip,none,none,validation_f1,validation,test,0.4870751093923089,,,,0.7931034482758621,0.8181818181818182,0.6923076923076923,0.75,0.8774038461538461,0.4637175364470951,0.4637175364470951,0.152559707715482,0.0789733118669515,58,results/final_preprocessing_v2/methods/text_bert/w64/text_bert_w64_fold1_metrics.csv,text_bert
text_bert_w64_fold2,final_preprocessing_v2,2,64,multimodal-transformer,text,bert,clip,none,none,validation_f1,validation,test,0.2395427346368431,,,,0.7758620689655172,0.6756756756756757,0.9615384615384616,0.7936507936507936,0.9543269230769232,0.3093378599739048,0.3093378599739048,0.0866331621201657,0.1297555720514958,58,results/final_preprocessing_v2/methods/text_bert/w64/text_bert_w64_fold2_metrics.csv,text_bert
text_bert_w64_fold3,final_preprocessing_v2,3,64,multimodal-transformer,text,bert,clip,none,none,validation_f1,validation,test,0.4703367025185562,,,,0.8333333333333334,0.9444444444444444,0.6538461538461539,0.7727272727272727,0.8834841628959276,0.4338253607863616,0.4338253607863616,0.1339458439875903,0.111382901559409,60,results/final_preprocessing_v2/methods/text_bert/w64/text_bert_w64_fold3_metrics.csv,text_bert
text_bert_w64_fold4,final_preprocessing_v2,4,64,multimodal-transformer,text,bert,clip,none,none,validation_f1,validation,test,0.3165906383918283,,,,0.8448275862068966,0.8148148148148148,0.8461538461538461,0.8301886792452831,0.9290865384615384,0.3620214438816758,0.3620214438816758,0.1142669386292654,0.0866717164665935,58,results/final_preprocessing_v2/methods/text_bert/w64/text_bert_w64_fold4_metrics.csv,text_bert
text_clip_w64_fold0,final_preprocessing_v2,0,64,multimodal-transformer,text,clip,clip,none,none,validation_f1,validation,test,0.3800024830408191,,,,0.7758620689655172,0.696969696969697,0.8846153846153846,0.7796610169491526,0.8040865384615384,0.5458737225431325,0.5458737225431325,0.1767435038081257,0.1085478408104411,58,results/final_preprocessing_v2/methods/text_clip/w64/text_clip_w64_fold0_metrics.csv,text_clip
text_clip_w64_fold1,final_preprocessing_v2,1,64,multimodal-transformer,text,clip,clip,none,none,validation_f1,validation,test,0.3231079914414869,,,,0.7931034482758621,0.75,0.8076923076923077,0.7777777777777778,0.8641826923076923,0.4999737291688674,0.4999737291688674,0.1672986943470095,0.1315659630292003,58,results/final_preprocessing_v2/methods/text_clip/w64/text_clip_w64_fold1_metrics.csv,text_clip
text_clip_w64_fold2,final_preprocessing_v2,2,64,multimodal-transformer,text,clip,clip,none,none,validation_f1,validation,test,0.3147310764788149,,,,0.7758620689655172,0.6756756756756757,0.9615384615384616,0.7936507936507936,0.9098557692307692,0.4212706437610644,0.4212706437610644,0.1302339949824059,0.1141617585148496,58,results/final_preprocessing_v2/methods/text_clip/w64/text_clip_w64_fold2_metrics.csv,text_clip
text_clip_w64_fold3,final_preprocessing_v2,3,64,multimodal-transformer,text,clip,clip,none,none,validation_f1,validation,test,0.4181038002723676,,,,0.7666666666666667,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.8427601809954751,0.516346515557003,0.516346515557003,0.1713799614825634,0.1260224159743492,60,results/final_preprocessing_v2/methods/text_clip/w64/text_clip_w64_fold3_metrics.csv,text_clip
text_clip_w64_fold4,final_preprocessing_v2,4,64,multimodal-transformer,text,clip,clip,none,none,validation_f1,validation,test,0.2753095059111028,,,,0.7068965517241379,0.6451612903225806,0.7692307692307693,0.7017543859649122,0.84375,0.5138892082397475,0.5138892082397475,0.1733720662403192,0.1420976337477514,58,results/final_preprocessing_v2/methods/text_clip/w64/text_clip_w64_fold4_metrics.csv,text_clip
contextvecnet_w64_fold0,final_preprocessing_v2,0,64,multimodal-transformer,both,clip,clip,none,none,validation_f1,validation,test,0.2792764994600953,,,,0.6896551724137931,0.6,0.9230769230769232,0.7272727272727273,0.7884615384615384,0.5583873661608062,0.5583873661608062,0.1846143664952759,0.1743337791187346,58,results/final_preprocessing_v2/supplemental/contextvecnet_uncalibrated_validation_f1/w64/contextvecnet_w64_fold0_metrics.csv,contextvecnet
