bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,8,0.08828438912194751,0.0,0.08828438912194751
1,0.1,0.2,18,0.1439070257410995,0.2222222222222222,0.0783151964811227
2,0.2,0.30000000000000004,5,0.25161227151109194,0.4,0.14838772848890808
3,0.30000000000000004,0.4,5,0.33009422119195897,0.4,0.06990577880804105
4,0.4,0.5,2,0.4190758914270134,0.5,0.0809241085729866
5,0.5,0.6000000000000001,4,0.5367196826674274,0.75,0.21328031733257258
6,0.6000000000000001,0.7000000000000001,1,0.699607831789188,1.0,0.30039216821081205
7,0.7000000000000001,0.8,7,0.7647834913854077,0.8571428571428571,0.09235936575744941
8,0.8,0.9,5,0.8426945451605287,0.8,0.04269454516052862
9,0.9,1.0,3,0.9220497561692889,1.0,0.07795024383071114
