user_id,attention_dir,attention_metric,n_positions,min,max,mean,std,range,top5_ratio
frog_egghead,attention_outputs\modality_ablation_multi_w64_fold4_maskpool_posw_b2_fixpool_test\frog_egghead,text_received_from_image_attention,64,0.0131267085671424,0.0163418464362621,0.01562499995634421,0.000422555197699072,0.0032151378691196997,0.08128901034953731
depressy.trouble,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\depressy.trouble,image_received_from_text_attention,64,0.0129906143993139,0.0162900164723396,0.015625000160071022,0.0009958887511813171,0.0032994020730256982,0.08127805507363878
poem.shiny_,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\poem.shiny_,text_self_attention_received,64,0.0148888882249593,0.01635099388659,0.015625000291038263,0.00032711886474491987,0.0014621056616306999,0.08097724279431173
moodie_raven,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\moodie_raven,text_received_from_image_attention,64,0.0137330796569585,0.0162942744791507,0.015624999825376969,0.0004509346430707022,0.002561194822192199,0.08089349136755038
jiali0624,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\jiali0624,text_received_from_image_attention,64,0.013530058786273,0.0162120312452316,0.015625000174622934,0.00042910337321986844,0.0026819724589586015,0.08083194590175215
nana_0305nn,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\nana_0305nn,text_received_from_image_attention,64,0.0131654348224401,0.0162014551460742,0.015625000116415263,0.0003822004868479902,0.003036020323634101,0.080675429994796
nana_0305nn,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\nana_0305nn,text_self_attention_received,64,0.0143831158056855,0.0162914358079433,0.015625000029103782,0.0004173472522739794,0.0019083200022577997,0.08050720006133022
poem.shiny_,attention_outputs\modality_ablation_multi_w64_fold0_maskpool_posw_b2_fixpool_test\poem.shiny_,text_received_from_image_attention,64,0.0134285166859626,0.0161957405507564,0.015625000130967195,0.00038275606516657726,0.0027672238647937983,0.08018199287202411
lam_word,attention_outputs\modality_ablation_multi_w64_fold4_maskpool_posw_b2_fixpool_test\lam_word,text_received_from_image_attention,64,0.0135224945843219,0.0160840190947055,0.015625000058207612,0.0003351792962224526,0.002561524510383599,0.08012607850087394
blue.sea.life,attention_outputs\modality_ablation_multi_w64_fold4_maskpool_posw_b2_fixpool_test\blue.sea.life,text_received_from_image_attention,64,0.0135225011035799,0.0161998681724071,0.015625000320142093,0.0003567347377932034,0.0026773670688272026,0.08005812972664936
