case_reason,user_id,fold,y_true,y_pred,error_type,y_raw_prob,y_prob,threshold,decision_margin,signed_margin,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
clear_positive_TP,blue.sea.life,4,1,1,TP,0.6451389789581299,0.5658456683158875,0.399370515080602,0.16647515323528544,0.16647515323528544,64.0,64.0,1.0,1.0,0
clear_negative_TN,frog_egghead,4,0,0,TN,0.4178521037101745,0.2305569946765899,0.399370515080602,0.1688135204040121,-0.1688135204040121,64.0,64.0,1.0,1.0,0
false_positive_largest_margin,lam_word,4,0,1,FP,0.6294564604759216,0.5393151640892029,0.399370515080602,0.13994464900860087,0.13994464900860087,64.0,64.0,1.0,1.0,0
false_negative_largest_margin,fenkychen0827,4,1,0,FN,0.4859232604503631,0.3165399730205536,0.399370515080602,0.08283054206004842,-0.08283054206004842,64.0,64.0,1.0,1.0,0
near_threshold_error,hug_molly.tw,1,1,0,FN,0.5350056886672974,0.4327952861785888,0.4331182040279335,0.0003229178493446838,-0.0003229178493446838,33.0,33.0,0.515625,0.515625,31
sparse_or_high_padding_error,morgan_stanley168,2,0,1,FP,0.5571879744529724,0.4459228515625,0.4276362376663735,0.018286613896126513,0.018286613896126513,20.0,20.0,0.3125,0.3125,44
