bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,11,0.37835482605642046,0.09090909090909091,0.2874457351473295
4,0.4,0.5,34,0.44245524340473247,0.4117647058823529,0.030690537522379546
5,0.5,0.6000000000000001,7,0.5542468027937308,0.7142857142857143,0.16003891149198346
6,0.6000000000000001,0.7000000000000001,6,0.6171001408801964,1.0,0.3828998591198036
7,0.7000000000000001,0.8,0,,,
8,0.8,0.9,0,,,
9,0.9,1.0,0,,,
