feature,rf_feature_importance,permutation_importance_mean,permutation_importance_std
threshold,0.23000273541104735,0.18387212697919522,0.04231068387367813
text_valid_count,0.19527838912872542,0.08074956580487215,0.030579671129813787
text_valid_ratio,0.1973348671362138,0.05872752877013275,0.019928284489388784
image_valid_count,0.11991863943721467,0.029970800007051383,0.014114072860763974
padding_amount,0.12640172157871235,0.02687446982627749,0.015613433944002116
image_valid_ratio,0.13106364730808637,0.0255052708826694,0.013342701226807963
