,probability,probability,probability,probability,probability,probability,threshold,threshold,threshold,threshold,threshold,threshold,signed_margin,signed_margin,signed_margin,signed_margin,signed_margin,signed_margin,decision_margin,decision_margin,decision_margin,decision_margin,decision_margin,decision_margin,confidence,confidence,confidence,confidence,confidence,confidence,text_valid_count,text_valid_count,text_valid_count,text_valid_count,text_valid_count,text_valid_count,image_valid_count,image_valid_count,image_valid_count,image_valid_count,image_valid_count,image_valid_count,text_valid_ratio,text_valid_ratio,text_valid_ratio,text_valid_ratio,text_valid_ratio,text_valid_ratio,image_valid_ratio,image_valid_ratio,image_valid_ratio,image_valid_ratio,image_valid_ratio,image_valid_ratio,padding_amount,padding_amount,padding_amount,padding_amount,padding_amount,padding_amount
,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max
error_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN,23,0.18987830969041455,0.09990904910699963,0.0612388388805221,0.1834907436154494,0.459624089278899,23,0.41574671467354263,0.09654828620269221,0.3226178336968301,0.3484527497514231,0.5230274241234272,23,-0.22586840498312807,0.12926653222340012,-0.45912027851331616,-0.2108041082904362,-0.018108217356061385,23,0.22586840498312807,0.12926653222340012,0.018108217356061385,0.2108041082904362,0.45912027851331616,23,0.8101216903095854,0.0999090491069996,0.540375910721101,0.8165092563845506,0.9387611611194779,23,57.43478260869565,11.420977855589499,21,63.0,64,23,59.17391304347826,11.199237692860429,21,64.0,64,23,0.8974184782608695,0.17845277899358591,0.328125,0.984375,1.0,23,0.9245923913043478,0.1749880889509442,0.328125,1.0,1.0,23,4.826086956521739,11.199237692860429,0.0,0.0,43.0
FP,38,0.4856078649553012,0.259590141928552,0.1341895207519592,0.4732482392475442,0.9382485638466918,38,0.24408965803056787,0.11116248150234904,0.1330126093082226,0.3226178336968301,0.5230274241234272,38,0.24151820692473333,0.19117122271816228,0.0011769114437366057,0.19433007420259363,0.573022722617286,38,0.24151820692473333,0.19117122271816228,0.0011769114437366057,0.19433007420259363,0.573022722617286,38,0.4856078649553012,0.259590141928552,0.1341895207519592,0.4732482392475442,0.9382485638466918,38,56.473684210526315,13.645585053970725,21,64.0,64,38,57.78947368421053,12.425253044868683,21,64.0,64,38,0.8824013157894737,0.21321226646829258,0.328125,1.0,1.0,38,0.9029605263157895,0.19414457882607317,0.328125,1.0,1.0,38,6.2105263157894735,12.425253044868683,0.0,0.0,43.0
TN,124,0.1164520229482648,0.06962743660959714,0.0280554537414181,0.10543999440150051,0.3514487036157898,124,0.36326505759530514,0.11575864020274644,0.1330126093082226,0.34308074297845637,0.5230274241234272,124,-0.24681303464704032,0.13729159117324655,-0.49241322540962745,-0.2443582141433261,-0.00011039623304520685,124,0.24681303464704032,0.13729159117324655,0.00011039623304520685,0.2443582141433261,0.49241322540962745,124,0.8835479770517352,0.06962743660959712,0.6485512963842102,0.8945600055984995,0.9719445462585818,124,56.016129032258064,14.066614960199198,3,64.0,64,124,58.0,12.289198112322154,20,64.0,64,124,0.8752520161290323,0.21979085875311247,0.046875,1.0,1.0,124,0.90625,0.19201872050503366,0.3125,1.0,1.0,124,6.0,12.289198112322154,0.0,0.0,44.0
TP,107,0.7852311876701029,0.1900518463454307,0.2092617555863749,0.8591360508890736,0.9772329472718808,107,0.3151694275021376,0.12254197852373723,0.1330126093082226,0.3377087362054896,0.5230274241234272,107,0.47006176016796525,0.20785360028132321,0.022848771894135977,0.5023689531161031,0.8117624844804089,107,0.47006176016796525,0.20785360028132321,0.022848771894135977,0.5023689531161031,0.8117624844804089,107,0.7852311876701029,0.1900518463454307,0.2092617555863749,0.8591360508890736,0.9772329472718808,107,55.58878504672897,14.88062769460464,0,64.0,64,107,58.3177570093458,11.866075101639842,20,64.0,64,107,0.8685747663551402,0.2325098077281975,0.0,1.0,1.0,107,0.9112149532710281,0.18540742346312253,0.3125,1.0,1.0,107,5.682242990654205,11.866075101639844,0.0,0.0,44.0
