feature,rf_feature_importance,permutation_importance_mean,permutation_importance_std
threshold,0.24832265095648745,0.08801296689056365,0.01905290508647419
text_valid_ratio,0.20680911842929717,0.04044515535061207,0.006431823658239021
text_valid_count,0.19874703076285904,0.03978747191878319,0.006837659753676862
padding_amount,0.1627161887212316,0.027295726148737976,0.004474767530254047
image_valid_count,0.09197185065687387,0.016624497626652378,0.003257942187926231
image_valid_ratio,0.0914331604732509,0.014527621651310134,0.003536723253799931
