case_reason,author,fold,label,prediction,error_type,probability,threshold,signed_margin,decision_margin,confidence,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
high_confidence_TP,theforlorn_1025,2,1,1,TP,0.9447750937886314,0.1330126093082226,0.8117624844804089,0.8117624844804089,0.9447750937886314,61,64,0.953125,1.0,0.0
high_confidence_TN,food.nius,3,0,0,TN,0.0306141987137997,0.5230274241234272,-0.49241322540962745,0.49241322540962745,0.9693858012862003,64,64,1.0,1.0,0.0
largest_margin_FP,iamfinety2.0,0,0,1,FP,0.9107314588227756,0.3377087362054896,0.573022722617286,0.573022722617286,0.9107314588227756,64,64,1.0,1.0,0.0
largest_margin_FN,si_je_meurs,3,1,0,FN,0.063907145610111,0.5230274241234272,-0.45912027851331616,0.45912027851331616,0.936092854389889,59,64,0.921875,1.0,0.0
nearest_boundary_error,janniedudu,2,0,1,FP,0.1341895207519592,0.1330126093082226,0.0011769114437366057,0.0011769114437366057,0.1341895207519592,49,49,0.765625,0.765625,15.0
