fold,n,tp,tn,fp,fn,accuracy,precision,recall,f1
0,58.0,22.0,22.0,10.0,4.0,0.7586206896551724,0.6875,0.8461538461538461,0.7586206896551724
1,58.0,20.0,26.0,6.0,6.0,0.7931034482758621,0.7692307692307693,0.7692307692307693,0.7692307692307693
2,58.0,26.0,14.0,18.0,0.0,0.6896551724137931,0.5909090909090909,1.0,0.7428571428571429
3,60.0,16.0,33.0,1.0,10.0,0.8166666666666667,0.9411764705882353,0.6153846153846154,0.744186046511628
4,58.0,23.0,29.0,3.0,3.0,0.896551724137931,0.8846153846153846,0.8846153846153846,0.8846153846153846
