error_type,n,mean_prob,mean_threshold,mean_signed_margin,std_signed_margin,median_signed_margin,mean_decision_margin,std_decision_margin,median_decision_margin,min_decision_margin,max_decision_margin,mean_confidence,median_confidence
TP,107,0.7852311876701029,0.3151694275021376,0.4700617601679652,0.20785360028132324,0.5023689531161031,0.4700617601679652,0.20785360028132324,0.5023689531161031,0.0228487718941359,0.8117624844804089,0.7852311876701029,0.8591360508890736
TN,124,0.1164520229482648,0.36326505759530514,-0.2468130346470403,0.13729159117324655,-0.24435821414332604,0.2468130346470403,0.13729159117324655,0.24435821414332604,0.0001103962330452,0.4924132254096274,0.8835479770517352,0.8945600055984995
FP,38,0.4856078649553012,0.24408965803056787,0.24151820692473333,0.1911712227181623,0.19433007420259354,0.24151820692473333,0.1911712227181623,0.19433007420259354,0.0011769114437366,0.573022722617286,0.4856078649553012,0.4732482392475442
FN,23,0.18987830969041455,0.41574671467354263,-0.22586840498312802,0.12926653222340012,-0.2108041082904362,0.22586840498312802,0.12926653222340012,0.2108041082904362,0.0181082173560613,0.4591202785133161,0.8101216903095854,0.8165092563845506
